review_text,sentiment,product_category,feature_mentioned,rating
Best tablet I've used in a while. The battery really stands out!,positive,tablet,battery,5
It’s a usable smartphone. The battery life meets minimum expectations.,neutral,smartphone,battery life,2
It’s a usable camera. The image quality meets minimum expectations.,neutral,camera,image quality,3
Very happy with my new headphones. Highly recommend it to anyone needing reliable sound quality.,positive,headphones,sound quality,4
Decent tablet. It gets the job done though the display could be better.,neutral,tablet,display,2
Expected more from this smartphone. The battery life is subpar at best.,negative,smartphone,battery life,1
This tablet was a big letdown. The portability doesn’t work as advertised.,negative,tablet,portability,2
A great buy! Everything from packaging to build quality screams quality.,positive,laptop,build quality,4
Terrible smartphone. The camera failed within a week. Don’t waste your money.,negative,smartphone,camera,2
The camera works fine. The image quality is okay but nothing exceptional.,neutral,camera,image quality,3
"This camera is alright. If you don’t expect much from the lens options, it’s fine.",neutral,camera,lens options,3
This headphones was a big letdown. The connectivity doesn’t work as advertised.,negative,headphones,connectivity,1
"This laptop blew me away. Smooth user experience, and excellent display.",positive,laptop,display,4
"Not the best, not the worst. The tablet's battery is sufficient for everyday use.",neutral,tablet,battery,4
Impressed with the smartphone. Great battery life and solid performance.,positive,smartphone,battery life,5
"An average experience with this smartwatch. Not bad, not great — the fitness tracking is acceptable.",neutral,smartwatch,fitness tracking,2
Terrible camera. The image quality failed within a week. Don’t waste your money.,negative,camera,image quality,2
"An average experience with this laptop. Not bad, not great — the keyboard is acceptable.",neutral,laptop,keyboard,2
Expected more from this smartwatch. The display is subpar at best.,negative,smartwatch,display,2
"This smartwatch blew me away. Smooth user experience, and excellent battery.",positive,smartwatch,battery,5
Very happy with my new smartphone. Highly recommend it to anyone needing reliable performance.,positive,smartphone,performance,4
"This smartphone blew me away. Smooth user experience, and excellent camera.",positive,smartphone,camera,4
"Not the best, not the worst. The headphones's battery is sufficient for everyday use.",neutral,headphones,battery,4
Very happy with my new headphones. Highly recommend it to anyone needing reliable sound quality.,positive,headphones,sound quality,5
I’ve had nothing but trouble with this camera. Worst experience I've had with image quality.,negative,camera,image quality,1
Disappointed with the headphones. Poor sound quality and unhelpful customer service.,negative,headphones,sound quality,2
"This smartwatch is alright. If you don’t expect much from the display, it’s fine.",neutral,smartwatch,display,3
Impressed with the smartwatch. Great features and solid performance.,positive,smartwatch,features,4
"Not the best, not the worst. The smartwatch's fitness tracking is sufficient for everyday use.",neutral,smartwatch,fitness tracking,2
Impressed with the camera. Great lens options and solid performance.,positive,camera,lens options,4
"Not the best, not the worst. The headphones's battery is sufficient for everyday use.",neutral,headphones,battery,3
Best tablet I've used in a while. The display really stands out!,positive,tablet,display,4
The smartphone works fine. The screen is okay but nothing exceptional.,neutral,smartphone,screen,3
A great buy! Everything from packaging to battery life screams quality.,positive,smartphone,battery life,5
"Not the best, not the worst. The smartwatch's features is sufficient for everyday use.",neutral,smartwatch,features,4
Decent laptop. It gets the job done though the display could be better.,neutral,laptop,display,4
I’ve had nothing but trouble with this smartphone. Worst experience I've had with battery life.,negative,smartphone,battery life,1
A great buy! Everything from packaging to response time screams quality.,positive,tablet,response time,5
Terrible camera. The image quality failed within a week. Don’t waste your money.,negative,camera,image quality,2
"This smartphone is alright. If you don’t expect much from the battery life, it’s fine.",neutral,smartphone,battery life,4
Impressed with the tablet. Great battery and solid performance.,positive,tablet,battery,4
